ortho	phon	lemme	cgram	cgramortho	genre	nombre	infover	syll_cv	orthosyll_cv	freqlivres	freqfilms2	source
discriminasses	diskRiminas	discriminer	VER	VER			sub:imp:2s;	d_i_s|k_R_i|m_i|n_a_s_#	d_i_s|c_r_i|m_i|n_a_ss_es	0.0	0.0	synthetic
discriminassions	diskRiminasj§	discriminer	VER	VER			sub:imp:1p;	d_i_s|k_R_i|m_i|n_a|s_j_§	d_i_s|c_r_i|m_i|n_a|ss_i_ons	0.0	0.0	synthetic
discriminassent	diskRiminas	discriminer	VER	VER			sub:imp:3p;	d_i_s|k_R_i|m_i|n_a_s_#	d_i_s|c_r_i|m_i|n_a_ss_ent	0.0	0.0	synthetic
déniés	denje	dénier	VER	VER	m	p	par:pas;	d_e|n_j_e	d_é|n_i_é_s	0.0	0.0	synthetic
déniée	denje	dénier	VER	VER	f	s	par:pas;	d_e|n_j_e	d_é|n_i_é_e	0.0	0.0	synthetic
déniées	denje	dénier	VER	VER	f	p	par:pas;	d_e|n_j_e	d_é|n_i_é_es	0.0	0.0	synthetic
déniâtes	denjat	dénier	VER	VER			ind:pas:2p;	d_e|n_j_a_t_#	d_é|n_i_â_t_es	0.0	0.0	synthetic
dénie	denj	dénier	VER	VER			sub:pre:1s;	d_e|n_j_#	d_é|n_i_e	0.0	0.0	synthetic
dénies	denj	dénier	VER	VER			sub:pre:2s;	d_e|n_j_#	d_é|n_i_es	0.0	0.0	synthetic
dénie	denj	dénier	VER	VER			sub:pre:3s;	d_e|n_j_#	d_é|n_i_e	0.0	0.0	synthetic
déniasse	denjas	dénier	VER	VER			sub:imp:1s;	d_e|n_j_a_s_#	d_é|n_i_a_ss_e	0.0	0.0	synthetic
déniasses	denjas	dénier	VER	VER			sub:imp:2s;	d_e|n_j_a_s_#	d_é|n_i_a_ss_es	0.0	0.0	synthetic
déniassions	denjasj§	dénier	VER	VER			sub:imp:1p;	d_e|n_j_a|s_j_§	d_é|n_i_a|ss_i_ons	0.0	0.0	synthetic
déniassent	denjas	dénier	VER	VER			sub:imp:3p;	d_e|n_j_a_s_#	d_é|n_i_a_ss_ent	0.0	0.0	synthetic
fricotés	fRikote	fricoter	VER	VER	m	p	par:pas;	f_R_i|k_o|t_e	f_r_i|c_o|t_é_s	0.0	0.0	synthetic
fricotée	fRikote	fricoter	VER	VER	f	s	par:pas;	f_R_i|k_o|t_e	f_r_i|c_o|t_é_e	0.0	0.0	synthetic
fricotées	fRikote	fricoter	VER	VER	f	p	par:pas;	f_R_i|k_o|t_e	f_r_i|c_o|t_é_es	0.0	0.0	synthetic
fricotâtes	fRikotat	fricoter	VER	VER			ind:pas:2p;	f_R_i|k_o|t_a_t_#	f_r_i|c_o|t_â_t_es	0.0	0.0	synthetic
fricote	fRikot	fricoter	VER	VER			sub:pre:1s;	f_R_i|k_o|t_#	f_r_i|c_o|t_e	0.0	0.0	synthetic
fricotes	fRikot	fricoter	VER	VER			sub:pre:2s;	f_R_i|k_o|t_#	f_r_i|c_o|t_es	0.0	0.0	synthetic
fricote	fRikot	fricoter	VER	VER			sub:pre:3s;	f_R_i|k_o|t_#	f_r_i|c_o|t_e	0.0	0.0	synthetic
fricotasse	fRikotas	fricoter	VER	VER			sub:imp:1s;	f_R_i|k_o|t_a_s_#	f_r_i|c_o|t_a_ss_e	0.0	0.0	synthetic
fricotasses	fRikotas	fricoter	VER	VER			sub:imp:2s;	f_R_i|k_o|t_a_s_#	f_r_i|c_o|t_a_ss_es	0.0	0.0	synthetic
fricotassions	fRikotasj§	fricoter	VER	VER			sub:imp:1p;	f_R_i|k_o|t_a|s_j_§	f_r_i|c_o|t_a|ss_i_ons	0.0	0.0	synthetic
fricotassent	fRikotas	fricoter	VER	VER			sub:imp:3p;	f_R_i|k_o|t_a_s_#	f_r_i|c_o|t_a_ss_ent	0.0	0.0	synthetic
vitaminâtes	vitaminat	vitaminer	VER	VER			ind:pas:2p;	v_i|t_a|m_i|n_a_t_#	v_i|t_a|m_i|n_â_t_es	0.0	0.0	synthetic
vitamine	vitamin	vitaminer	VER	VER			sub:pre:1s;	v_i|t_a|m_i|n_#	v_i|t_a|m_i|n_e	0.0	0.0	synthetic
vitamines	vitamin	vitaminer	VER	VER			sub:pre:2s;	v_i|t_a|m_i|n_#	v_i|t_a|m_i|n_es	0.0	0.0	synthetic
vitamine	vitamin	vitaminer	VER	VER			sub:pre:3s;	v_i|t_a|m_i|n_#	v_i|t_a|m_i|n_e	0.0	0.0	synthetic
vitaminasse	vitaminas	vitaminer	VER	VER			sub:imp:1s;	v_i|t_a|m_i|n_a_s_#	v_i|t_a|m_i|n_a_ss_e	0.0	0.0	synthetic
vitaminasses	vitaminas	vitaminer	VER	VER			sub:imp:2s;	v_i|t_a|m_i|n_a_s_#	v_i|t_a|m_i|n_a_ss_es	0.0	0.0	synthetic
vitaminassions	vitaminasj§	vitaminer	VER	VER			sub:imp:1p;	v_i|t_a|m_i|n_a|s_j_§	v_i|t_a|m_i|n_a|ss_i_ons	0.0	0.0	synthetic
vitaminassent	vitaminas	vitaminer	VER	VER			sub:imp:3p;	v_i|t_a|m_i|n_a_s_#	v_i|t_a|m_i|n_a_ss_ent	0.0	0.0	synthetic
questionnées	kEstjone	questionner	VER	VER	f	p	par:pas;	k_E_s|t_j_o|n_e	qu_e_s|t_i_o|nn_é_es	0.0	0.0	synthetic
questionnâtes	kEstjonat	questionner	VER	VER			ind:pas:2p;	k_E_s|t_j_o|n_a_t_#	qu_e_s|t_i_o|nn_â_t_es	0.0	0.0	synthetic
questionne	kEstjon	questionner	VER	VER			sub:pre:1s;	k_E_s|t_j_o|n_#	qu_e_s|t_i_o|nn_e	0.0	0.0	synthetic
questionnes	kEstjon	questionner	VER	VER			sub:pre:2s;	k_E_s|t_j_o|n_#	qu_e_s|t_i_o|nn_es	0.0	0.0	synthetic
questionne	kEstjon	questionner	VER	VER			sub:pre:3s;	k_E_s|t_j_o|n_#	qu_e_s|t_i_o|nn_e	0.0	0.0	synthetic
questionnasse	kEstjonas	questionner	VER	VER			sub:imp:1s;	k_E_s|t_j_o|n_a_s_#	qu_e_s|t_i_o|nn_a_ss_e	0.0	0.0	synthetic
questionnasses	kEstjonas	questionner	VER	VER			sub:imp:2s;	k_E_s|t_j_o|n_a_s_#	qu_e_s|t_i_o|nn_a_ss_es	0.0	0.0	synthetic
questionnassions	kEstjonasj§	questionner	VER	VER			sub:imp:1p;	k_E_s|t_j_o|n_a|s_j_§	qu_e_s|t_i_o|nn_a|ss_i_ons	0.0	0.0	synthetic
questionnassent	kEstjonas	questionner	VER	VER			sub:imp:3p;	k_E_s|t_j_o|n_a_s_#	qu_e_s|t_i_o|nn_a_ss_ent	0.0	0.0	synthetic
tyrannisés	tiRanize	tyranniser	VER	VER	m	p	par:pas;	t_i|R_a|n_i|z_e	t_y|r_a|nn_i|s_é_s	0.0	0.0	synthetic
tyrannisées	tiRanize	tyranniser	VER	VER	f	p	par:pas;	t_i|R_a|n_i|z_e	t_y|r_a|nn_i|s_é_es	0.0	0.0	synthetic
tyrannisâtes	tiRanizat	tyranniser	VER	VER			ind:pas:2p;	t_i|R_a|n_i|z_a_t_#	t_y|r_a|nn_i|s_â_t_es	0.0	0.0	synthetic
tyrannise	tiRaniz	tyranniser	VER	VER			sub:pre:1s;	t_i|R_a|n_i|z_#	t_y|r_a|nn_i|s_e	0.0	0.0	synthetic
tyrannises	tiRaniz	tyranniser	VER	VER			sub:pre:2s;	t_i|R_a|n_i|z_#	t_y|r_a|nn_i|s_es	0.0	0.0	synthetic
tyrannise	tiRaniz	tyranniser	VER	VER			sub:pre:3s;	t_i|R_a|n_i|z_#	t_y|r_a|nn_i|s_e	0.0	0.0	synthetic
tyrannisasse	tiRanizas	tyranniser	VER	VER			sub:imp:1s;	t_i|R_a|n_i|z_a_s_#	t_y|r_a|nn_i|s_a_ss_e	0.0	0.0	synthetic
tyrannisasses	tiRanizas	tyranniser	VER	VER			sub:imp:2s;	t_i|R_a|n_i|z_a_s_#	t_y|r_a|nn_i|s_a_ss_es	0.0	0.0	synthetic
tyrannisassions	tiRanizasj§	tyranniser	VER	VER			sub:imp:1p;	t_i|R_a|n_i|z_a|s_j_§	t_y|r_a|nn_i|s_a|ss_i_ons	0.0	0.0	synthetic
tyrannisassent	tiRanizas	tyranniser	VER	VER			sub:imp:3p;	t_i|R_a|n_i|z_a_s_#	t_y|r_a|nn_i|s_a_ss_ent	0.0	0.0	synthetic
milités	milite	militer	VER	VER	m	p	par:pas;	m_i|l_i|t_e	m_i|l_i|t_é_s	0.0	0.0	synthetic
militée	milite	militer	VER	VER	f	s	par:pas;	m_i|l_i|t_e	m_i|l_i|t_é_e	0.0	0.0	synthetic
militées	milite	militer	VER	VER	f	p	par:pas;	m_i|l_i|t_e	m_i|l_i|t_é_es	0.0	0.0	synthetic
militâtes	militat	militer	VER	VER			ind:pas:2p;	m_i|l_i|t_a_t_#	m_i|l_i|t_â_t_es	0.0	0.0	synthetic
milite	milit	militer	VER	VER			sub:pre:1s;	m_i|l_i|t_#	m_i|l_i|t_e	0.0	0.0	synthetic
milites	milit	militer	VER	VER			sub:pre:2s;	m_i|l_i|t_#	m_i|l_i|t_es	0.0	0.0	synthetic
milite	milit	militer	VER	VER			sub:pre:3s;	m_i|l_i|t_#	m_i|l_i|t_e	0.0	0.0	synthetic
militasse	militas	militer	VER	VER			sub:imp:1s;	m_i|l_i|t_a_s_#	m_i|l_i|t_a_ss_e	0.0	0.0	synthetic
militasses	militas	militer	VER	VER			sub:imp:2s;	m_i|l_i|t_a_s_#	m_i|l_i|t_a_ss_es	0.0	0.0	synthetic
militassions	militasj§	militer	VER	VER			sub:imp:1p;	m_i|l_i|t_a|s_j_§	m_i|l_i|t_a|ss_i_ons	0.0	0.0	synthetic
militassent	militas	militer	VER	VER			sub:imp:3p;	m_i|l_i|t_a_s_#	m_i|l_i|t_a_ss_ent	0.0	0.0	synthetic
mésusâtes	mezyzat	mésuser	VER	VER			ind:pas:2p;	m_e|z_y|z_a_t_#	m_é|s_u|s_â_t_es	0.0	0.0	synthetic
mésuse	mezyz	mésuser	VER	VER			sub:pre:1s;	m_e|z_y|z_#	m_é|s_u|s_e	0.0	0.0	synthetic
mésuses	mezyz	mésuser	VER	VER			sub:pre:2s;	m_e|z_y|z_#	m_é|s_u|s_es	0.0	0.0	synthetic
mésuse	mezyz	mésuser	VER	VER			sub:pre:3s;	m_e|z_y|z_#	m_é|s_u|s_e	0.0	0.0	synthetic
mésusasse	mezyzas	mésuser	VER	VER			sub:imp:1s;	m_e|z_y|z_a_s_#	m_é|s_u|s_a_ss_e	0.0	0.0	synthetic
mésusasses	mezyzas	mésuser	VER	VER			sub:imp:2s;	m_e|z_y|z_a_s_#	m_é|s_u|s_a_ss_es	0.0	0.0	synthetic
mésusassions	mezyzasj§	mésuser	VER	VER			sub:imp:1p;	m_e|z_y|z_a|s_j_§	m_é|s_u|s_a|ss_i_ons	0.0	0.0	synthetic
mésusassent	mezyzas	mésuser	VER	VER			sub:imp:3p;	m_e|z_y|z_a_s_#	m_é|s_u|s_a_ss_ent	0.0	0.0	synthetic
cannés	kane	canner	VER	VER	m	p	par:pas;	k_a|n_e	c_a|nn_é_s	0.0	0.0	synthetic
cannâtes	kanat	canner	VER	VER			ind:pas:2p;	k_a|n_a_t_#	c_a|nn_â_t_es	0.0	0.0	synthetic
canne	kan	canner	VER	VER			sub:pre:1s;	k_a|n_#	c_a|nn_e	0.0	0.0	synthetic
cannes	kan	canner	VER	VER			sub:pre:2s;	k_a|n_#	c_a|nn_es	0.0	0.0	synthetic
canne	kan	canner	VER	VER			sub:pre:3s;	k_a|n_#	c_a|nn_e	0.0	0.0	synthetic
cannasse	kanas	canner	VER	VER			sub:imp:1s;	k_a|n_a_s_#	c_a|nn_a_ss_e	0.0	0.0	synthetic
cannasses	kanas	canner	VER	VER			sub:imp:2s;	k_a|n_a_s_#	c_a|nn_a_ss_es	0.0	0.0	synthetic
cannassions	kanasj§	canner	VER	VER			sub:imp:1p;	k_a|n_a|s_j_§	c_a|nn_a|ss_i_ons	0.0	0.0	synthetic
cannassent	kanas	canner	VER	VER			sub:imp:3p;	k_a|n_a_s_#	c_a|nn_a_ss_ent	0.0	0.0	synthetic
souqués	suke	souquer	VER	VER	m	p	par:pas;	s_u|k_e	s_ou|qu_é_s	0.0	0.0	synthetic
souquée	suke	souquer	VER	VER	f	s	par:pas;	s_u|k_e	s_ou|qu_é_e	0.0	0.0	synthetic
souquées	suke	souquer	VER	VER	f	p	par:pas;	s_u|k_e	s_ou|qu_é_es	0.0	0.0	synthetic
souquâtes	sukat	souquer	VER	VER			ind:pas:2p;	s_u|k_a_t_#	s_ou|qu_â_t_es	0.0	0.0	synthetic
souque	suk	souquer	VER	VER			sub:pre:1s;	s_u|k_#	s_ou|qu_e	0.0	0.0	synthetic
souques	suk	souquer	VER	VER			sub:pre:2s;	s_u|k_#	s_ou|qu_es	0.0	0.0	synthetic
souque	suk	souquer	VER	VER			sub:pre:3s;	s_u|k_#	s_ou|qu_e	0.0	0.0	synthetic
souquasse	sukas	souquer	VER	VER			sub:imp:1s;	s_u|k_a_s_#	s_ou|qu_a_ss_e	0.0	0.0	synthetic
souquasses	sukas	souquer	VER	VER			sub:imp:2s;	s_u|k_a_s_#	s_ou|qu_a_ss_es	0.0	0.0	synthetic
souquassions	sukasj§	souquer	VER	VER			sub:imp:1p;	s_u|k_a|s_j_§	s_ou|qu_a|ss_i_ons	0.0	0.0	synthetic
souquassent	sukas	souquer	VER	VER			sub:imp:3p;	s_u|k_a_s_#	s_ou|qu_a_ss_ent	0.0	0.0	synthetic
fritté	fRite	fritter	VER	VER	m	s	par:pas;	f_R_i|t_e	f_r_i|tt_é	0.0	0.0	synthetic
frittée	fRite	fritter	VER	VER	f	s	par:pas;	f_R_i|t_e	f_r_i|tt_é_e	0.0	0.0	synthetic
frittées	fRite	fritter	VER	VER	f	p	par:pas;	f_R_i|t_e	f_r_i|tt_é_es	0.0	0.0	synthetic
frittâtes	fRitat	fritter	VER	VER			ind:pas:2p;	f_R_i|t_a_t_#	f_r_i|tt_â_t_es	0.0	0.0	synthetic
fritte	fRit	fritter	VER	VER			sub:pre:1s;	f_R_i|t_#	f_r_i|tt_e	0.0	0.0	synthetic
frittes	fRit	fritter	VER	VER			sub:pre:2s;	f_R_i|t_#	f_r_i|tt_es	0.0	0.0	synthetic
fritte	fRit	fritter	VER	VER			sub:pre:3s;	f_R_i|t_#	f_r_i|tt_e	0.0	0.0	synthetic
frittasse	fRitas	fritter	VER	VER			sub:imp:1s;	f_R_i|t_a_s_#	f_r_i|tt_a_ss_e	0.0	0.0	synthetic
frittasses	fRitas	fritter	VER	VER			sub:imp:2s;	f_R_i|t_a_s_#	f_r_i|tt_a_ss_es	0.0	0.0	synthetic
frittassions	fRitasj§	fritter	VER	VER			sub:imp:1p;	f_R_i|t_a|s_j_§	f_r_i|tt_a|ss_i_ons	0.0	0.0	synthetic
frittassent	fRitas	fritter	VER	VER			sub:imp:3p;	f_R_i|t_a_s_#	f_r_i|tt_a_ss_ent	0.0	0.0	synthetic
reculottés	R°kylote	reculotter	VER	VER	m	p	par:pas;	R_°|k_y|l_o|t_e	r_e|c_u|l_o|tt_é_s	0.0	0.0	synthetic
reculottées	R°kylote	reculotter	VER	VER	f	p	par:pas;	R_°|k_y|l_o|t_e	r_e|c_u|l_o|tt_é_es	0.0	0.0	synthetic
reculottâtes	R°kylotat	reculotter	VER	VER			ind:pas:2p;	R_°|k_y|l_o|t_a_t_#	r_e|c_u|l_o|tt_â_t_es	0.0	0.0	synthetic
reculotte	R°kylot	reculotter	VER	VER			sub:pre:1s;	R_°|k_y|l_o|t_#	r_e|c_u|l_o|tt_e	0.0	0.0	synthetic
reculottes	R°kylot	reculotter	VER	VER			sub:pre:2s;	R_°|k_y|l_o|t_#	r_e|c_u|l_o|tt_es	0.0	0.0	synthetic
reculotte	R°kylot	reculotter	VER	VER			sub:pre:3s;	R_°|k_y|l_o|t_#	r_e|c_u|l_o|tt_e	0.0	0.0	synthetic
reculottasse	R°kylotas	reculotter	VER	VER			sub:imp:1s;	R_°|k_y|l_o|t_a_s_#	r_e|c_u|l_o|tt_a_ss_e	0.0	0.0	synthetic
reculottasses	R°kylotas	reculotter	VER	VER			sub:imp:2s;	R_°|k_y|l_o|t_a_s_#	r_e|c_u|l_o|tt_a_ss_es	0.0	0.0	synthetic
reculottassions	R°kylotasj§	reculotter	VER	VER			sub:imp:1p;	R_°|k_y|l_o|t_a|s_j_§	r_e|c_u|l_o|tt_a|ss_i_ons	0.0	0.0	synthetic
reculottassent	R°kylotas	reculotter	VER	VER			sub:imp:3p;	R_°|k_y|l_o|t_a_s_#	r_e|c_u|l_o|tt_a_ss_ent	0.0	0.0	synthetic
valsés	valse	valser	VER	VER	m	p	par:pas;	v_a_l|s_e	v_a_l|s_é_s	0.0	0.0	synthetic
valsée	valse	valser	VER	VER	f	s	par:pas;	v_a_l|s_e	v_a_l|s_é_e	0.0	0.0	synthetic
valsées	valse	valser	VER	VER	f	p	par:pas;	v_a_l|s_e	v_a_l|s_é_es	0.0	0.0	synthetic
valsâtes	valsat	valser	VER	VER			ind:pas:2p;	v_a_l|s_a_t_#	v_a_l|s_â_t_es	0.0	0.0	synthetic
valse	vals	valser	VER	VER			sub:pre:1s;	v_a_l|s_#	v_a_l|s_e	0.0	0.0	synthetic
valses	vals	valser	VER	VER			sub:pre:2s;	v_a_l|s_#	v_a_l|s_es	0.0	0.0	synthetic
valse	vals	valser	VER	VER			sub:pre:3s;	v_a_l|s_#	v_a_l|s_e	0.0	0.0	synthetic
valsasse	valsas	valser	VER	VER			sub:imp:1s;	v_a_l|s_a_s_#	v_a_l|s_a_ss_e	0.0	0.0	synthetic
valsasses	valsas	valser	VER	VER			sub:imp:2s;	v_a_l|s_a_s_#	v_a_l|s_a_ss_es	0.0	0.0	synthetic
valsassions	valsasj§	valser	VER	VER			sub:imp:1p;	v_a_l|s_a|s_j_§	v_a_l|s_a|ss_i_ons	0.0	0.0	synthetic
valsassent	valsas	valser	VER	VER			sub:imp:3p;	v_a_l|s_a_s_#	v_a_l|s_a_ss_ent	0.0	0.0	synthetic
tissâtes	tisat	tisser	VER	VER			ind:pas:2p;	t_i|s_a_t_#	t_i|ss_â_t_es	0.0	0.0	synthetic
tisse	tis	tisser	VER	VER			sub:pre:1s;	t_i|s_#	t_i|ss_e	0.0	0.0	synthetic
tisses	tis	tisser	VER	VER			sub:pre:2s;	t_i|s_#	t_i|ss_es	0.0	0.0	synthetic
tisse	tis	tisser	VER	VER			sub:pre:3s;	t_i|s_#	t_i|ss_e	0.0	0.0	synthetic
tissasse	tisas	tisser	VER	VER			sub:imp:1s;	t_i|s_a_s_#	t_i|ss_a_ss_e	0.0	0.0	synthetic
tissasses	tisas	tisser	VER	VER			sub:imp:2s;	t_i|s_a_s_#	t_i|ss_a_ss_es	0.0	0.0	synthetic
tissassions	tisasj§	tisser	VER	VER			sub:imp:1p;	t_i|s_a|s_j_§	t_i|ss_a|ss_i_ons	0.0	0.0	synthetic
tissassent	tisas	tisser	VER	VER			sub:imp:3p;	t_i|s_a_s_#	t_i|ss_a_ss_ent	0.0	0.0	synthetic
prédéterminâtes	pRedetERminat	prédéterminer	VER	VER			ind:pas:2p;	p_R_e|d_e|t_E_R|m_i|n_a_t_#	p_r_é|d_é|t_e_r|m_i|n_â_t_es	0.0	0.0	synthetic
prédétermine	pRedetERmin	prédéterminer	VER	VER			sub:pre:1s;	p_R_e|d_e|t_E_R|m_i|n_#	p_r_é|d_é|t_e_r|m_i|n_e	0.0	0.0	synthetic
prédétermines	pRedetERmin	prédéterminer	VER	VER			sub:pre:2s;	p_R_e|d_e|t_E_R|m_i|n_#	p_r_é|d_é|t_e_r|m_i|n_es	0.0	0.0	synthetic
prédétermine	pRedetERmin	prédéterminer	VER	VER			sub:pre:3s;	p_R_e|d_e|t_E_R|m_i|n_#	p_r_é|d_é|t_e_r|m_i|n_e	0.0	0.0	synthetic
prédéterminasse	pRedetERminas	prédéterminer	VER	VER			sub:imp:1s;	p_R_e|d_e|t_E_R|m_i|n_a_s_#	p_r_é|d_é|t_e_r|m_i|n_a_ss_e	0.0	0.0	synthetic
prédéterminasses	pRedetERminas	prédéterminer	VER	VER			sub:imp:2s;	p_R_e|d_e|t_E_R|m_i|n_a_s_#	p_r_é|d_é|t_e_r|m_i|n_a_ss_es	0.0	0.0	synthetic
prédéterminassions	pRedetERminasj§	prédéterminer	VER	VER			sub:imp:1p;	p_R_e|d_e|t_E_R|m_i|n_a|s_j_§	p_r_é|d_é|t_e_r|m_i|n_a|ss_i_ons	0.0	0.0	synthetic
prédéterminassent	pRedetERminas	prédéterminer	VER	VER			sub:imp:3p;	p_R_e|d_e|t_E_R|m_i|n_a_s_#	p_r_é|d_é|t_e_r|m_i|n_a_ss_ent	0.0	0.0	synthetic
ressautés	R2sote	ressauter	VER	VER	m	p	par:pas;	R_2|s_o|t_e	r_e|ss_au|t_é_s	0.0	0.0	synthetic
ressautée	R2sote	ressauter	VER	VER	f	s	par:pas;	R_2|s_o|t_e	r_e|ss_au|t_é_e	0.0	0.0	synthetic
ressautées	R2sote	ressauter	VER	VER	f	p	par:pas;	R_2|s_o|t_e	r_e|ss_au|t_é_es	0.0	0.0	synthetic
ressautâtes	R°sotat	ressauter	VER	VER			ind:pas:2p;	R_°|s_o|t_a_t_#	r_e|ss_au|t_â_t_es	0.0	0.0	synthetic
ressaute	R°sot	ressauter	VER	VER			sub:pre:1s;	R_°|s_o|t_#	r_e|ss_au|t_e	0.0	0.0	synthetic
ressautes	R°sot	ressauter	VER	VER			sub:pre:2s;	R_°|s_o|t_#	r_e|ss_au|t_es	0.0	0.0	synthetic
ressaute	R°sot	ressauter	VER	VER			sub:pre:3s;	R_°|s_o|t_#	r_e|ss_au|t_e	0.0	0.0	synthetic
ressautasse	R°sotas	ressauter	VER	VER			sub:imp:1s;	R_°|s_o|t_a_s_#	r_e|ss_au|t_a_ss_e	0.0	0.0	synthetic
ressautasses	R°sotas	ressauter	VER	VER			sub:imp:2s;	R_°|s_o|t_a_s_#	r_e|ss_au|t_a_ss_es	0.0	0.0	synthetic
ressautassions	R°sotasj§	ressauter	VER	VER			sub:imp:1p;	R_°|s_o|t_a|s_j_§	r_e|ss_au|t_a|ss_i_ons	0.0	0.0	synthetic
ressautassent	R°sotas	ressauter	VER	VER			sub:imp:3p;	R_°|s_o|t_a_s_#	r_e|ss_au|t_a_ss_ent	0.0	0.0	synthetic
répercutâtes	RepERkytat	répercuter	VER	VER			ind:pas:2p;	R_e|p_E_R|k_y|t_a_t_#	r_é|p_e_r|c_u|t_â_t_es	0.0	0.0	synthetic
répercute	RepERkyt	répercuter	VER	VER			sub:pre:1s;	R_e|p_E_R|k_y|t_#	r_é|p_e_r|c_u|t_e	0.0	0.0	synthetic
répercutes	RepERkyt	répercuter	VER	VER			sub:pre:2s;	R_e|p_E_R|k_y|t_#	r_é|p_e_r|c_u|t_es	0.0	0.0	synthetic
répercute	RepERkyt	répercuter	VER	VER			sub:pre:3s;	R_e|p_E_R|k_y|t_#	r_é|p_e_r|c_u|t_e	0.0	0.0	synthetic
répercutasse	RepERkytas	répercuter	VER	VER			sub:imp:1s;	R_e|p_E_R|k_y|t_a_s_#	r_é|p_e_r|c_u|t_a_ss_e	0.0	0.0	synthetic
répercutasses	RepERkytas	répercuter	VER	VER			sub:imp:2s;	R_e|p_E_R|k_y|t_a_s_#	r_é|p_e_r|c_u|t_a_ss_es	0.0	0.0	synthetic
répercutassions	RepERkytasj§	répercuter	VER	VER			sub:imp:1p;	R_e|p_E_R|k_y|t_a|s_j_§	r_é|p_e_r|c_u|t_a|ss_i_ons	0.0	0.0	synthetic
répercutassent	RepERkytas	répercuter	VER	VER			sub:imp:3p;	R_e|p_E_R|k_y|t_a_s_#	r_é|p_e_r|c_u|t_a_ss_ent	0.0	0.0	synthetic
sifflotés	siflote	siffloter	VER	VER	m	p	par:pas;	s_i|f_l_o|t_e	s_i|ff_l_o|t_é_s	0.0	0.0	synthetic
sifflotée	siflote	siffloter	VER	VER	f	s	par:pas;	s_i|f_l_o|t_e	s_i|ff_l_o|t_é_e	0.0	0.0	synthetic
sifflotées	siflote	siffloter	VER	VER	f	p	par:pas;	s_i|f_l_o|t_e	s_i|ff_l_o|t_é_es	0.0	0.0	synthetic
sifflotâtes	siflotat	siffloter	VER	VER			ind:pas:2p;	s_i|f_l_o|t_a_t_#	s_i|ff_l_o|t_â_t_es	0.0	0.0	synthetic
sifflote	siflot	siffloter	VER	VER			sub:pre:1s;	s_i|f_l_o|t_#	s_i|ff_l_o|t_e	0.0	0.0	synthetic
sifflotes	siflot	siffloter	VER	VER			sub:pre:2s;	s_i|f_l_o|t_#	s_i|ff_l_o|t_es	0.0	0.0	synthetic
sifflote	siflot	siffloter	VER	VER			sub:pre:3s;	s_i|f_l_o|t_#	s_i|ff_l_o|t_e	0.0	0.0	synthetic
sifflotasse	siflotas	siffloter	VER	VER			sub:imp:1s;	s_i|f_l_o|t_a_s_#	s_i|ff_l_o|t_a_ss_e	0.0	0.0	synthetic
sifflotasses	siflotas	siffloter	VER	VER			sub:imp:2s;	s_i|f_l_o|t_a_s_#	s_i|ff_l_o|t_a_ss_es	0.0	0.0	synthetic
sifflotassions	siflotasj§	siffloter	VER	VER			sub:imp:1p;	s_i|f_l_o|t_a|s_j_§	s_i|ff_l_o|t_a|ss_i_ons	0.0	0.0	synthetic
sifflotassent	siflotas	siffloter	VER	VER			sub:imp:3p;	s_i|f_l_o|t_a_s_#	s_i|ff_l_o|t_a_ss_ent	0.0	0.0	synthetic
