# lexiconExclusions.tsv
#
# Words dropped entirely from the generated lexicon (never reach LexiqueMixte.tsv /
# Dictionary at all) -- unlike resources/ambiguityIgnoreList.tsv, which only affects
# the ambiguity *metric* and leaves the word typable. Historically these lived as
# two hardcoded Python lists in lexique.py (`problemList`, `foreignList`, no
# per-word reason recorded anywhere) -- moved here 2026-09-18 for consistency with
# the rest of this project's tsv-based exception tables (reform1990.tsv,
# verbModelExceptions.tsv, ambiguityIgnoreList.tsv).
#
# Columns:
#   word    -- the corpus `ortho` string to exclude (exact match)
#   reason  -- one of:
#                foreign_word       -- a loanword/foreign term, generally excluded
#                                      for phonology/orthography reasons never
#                                      individually documented at the time
#                unsupported_phoneme -- confirmed to use a phoneme outside the
#                                      Starboard keyboard's mapping (see CLAUDE.md);
#                                      verified case: azulejo/azulejos use X-SAMPA
#                                      "x" (Spanish/Portuguese jota), see todo.md
#                unpopular_spelling -- a misspelling or much-rarer variant of a
#                                      word already present under its normal
#                                      spelling
#                data_defect        -- suspected Lexique383 data problem (a
#                                      malformed/synthetic-looking conjugated
#                                      form, an odd derived-noun entry, etc.)
#   note    -- short justification; "unverified legacy entry" where the original
#              per-word reasoning was never recorded and hasn't been re-derived
#
# `reason` here is a best-effort reconstruction from the word list alone (the
# original lists predate any commit message explaining individual entries) --
# treat as provisional, not authoritative; happy to be corrected per-word.
word	reason	note
quite	foreign_word	English loanword (unverified legacy entry)
ranch	foreign_word	English loanword
rancher	foreign_word	English loanword
ranchs	foreign_word	English loanword, plural
ranches	foreign_word	English loanword, plural
roadster	foreign_word	English loanword
rock'n'roll	foreign_word	English loanword
sandjak	foreign_word	Ottoman Turkish loanword (administrative division)
sandwiches	foreign_word	English loanword, plural
sandwichs	foreign_word	English loanword, plural
schampooing	unpopular_spelling	misspelling of "shampooing"
schampooiner	unpopular_spelling	misspelling of "shampooiner"
shampooiner	foreign_word	English-derived verb
shampooing	foreign_word	English loanword
shampooings	foreign_word	English loanword, plural
puzzle	foreign_word	English loanword
puzzles	foreign_word	English loanword, plural
rinforzando	foreign_word	Italian loanword (musical term)
rough	foreign_word	English loanword
rhythm'n'blues	foreign_word	English loanword
single	foreign_word	English loanword
shogun	foreign_word	Japanese loanword
shôgun	unpopular_spelling	alternate transliteration of "shogun"
skinhead	foreign_word	English loanword
skinheads	foreign_word	English loanword, plural
smiley	foreign_word	English loanword
teenager	foreign_word	English loanword
training	foreign_word	English loanword
trecento	foreign_word	Italian loanword
valpolicella	foreign_word	Italian loanword (wine)
wharf	foreign_word	English loanword
whig	foreign_word	English loanword
whigs	foreign_word	English loanword, plural
whipcord	foreign_word	English loanword
whiskey	foreign_word	English/Irish loanword
whiskies	foreign_word	English loanword, plural
whiskys	unpopular_spelling	non-standard plural of "whisky"
whist	foreign_word	English loanword (card game)
whisky	foreign_word	English loanword
wildcat	foreign_word	English loanword
winchesters	foreign_word	English loanword, plural (rifle brand)
kascher	unpopular_spelling	per Larousse, "tombée en désuétude" (obsolete) spelling of "kasher"; see lexique.py spellingVariantLemme
cascher	unpopular_spelling	per Larousse, "tombée en désuétude" (obsolete) spelling of "kasher"; see lexique.py spellingVariantLemme
cacahuètes	unpopular_spelling	pre-1990-reform spelling of "cacahouètes" (see resources/reform1990.tsv, autres_rectifications); dropped as a homophone-ambiguity duplicate of the modern spelling
dégotte	unpopular_spelling	pre-1990-reform spelling of "dégote" (see resources/reform1990.tsv, olle_otter); dropped as a homophone-ambiguity duplicate of the modern spelling
dégotté	unpopular_spelling	pre-1990-reform spelling of "dégoté" (see resources/reform1990.tsv, olle_otter); dropped as a homophone-ambiguity duplicate of the modern spelling
grolles	unpopular_spelling	pre-1990-reform spelling of "groles" (see resources/reform1990.tsv, olle_otter); dropped as a homophone-ambiguity duplicate of the modern spelling
guibolles	unpopular_spelling	pre-1990-reform spelling of "guiboles" (see resources/reform1990.tsv, olle_otter); dropped as a homophone-ambiguity duplicate of the modern spelling
mariolles	unpopular_spelling	pre-1990-reform spelling of "marioles" (see resources/reform1990.tsv, olle_otter); dropped as a homophone-ambiguity duplicate of the modern spelling
