item	phono	cgram	grapheme	assoc	regTo_GP
abandonnant	ab@don@	VER	a.b.an.d.o.nn.ant	a-a.b-b.an-@.d-d.o-o.nn-n.ant-@	1.1.1.1.0.1.1.
abandonnas	ab@dona	VER	a.b.an.d.o.nn.as	a-a.b-b.an-@.d-d.o-o.nn-n.as-a	1.1.1.1.0.1.1.
abandonne	ab@dOn	VER	a.b.an.d.o.nn.e	a-a.b-b.an-@.d-d.o-O.nn-n.e-#	1.1.1.1.1.1.1.
abandonnent	ab@dOn	VER	a.b.an.d.o.nn.ent	a-a.b-b.an-@.d-d.o-O.nn-n.ent-#	1.1.1.1.1.1.0.
abandonner	ab@done	VER	a.b.an.d.o.nn.er	a-a.b-b.an-@.d-d.o-o.nn-n.er-e	1.1.1.1.0.1.1.
abandonnera	ab@dOn°Ra	VER	a.b.an.d.o.nn.e.r.a	a-a.b-b.an-@.d-d.o-O.nn-n.e-°.r-R.a-a	1.1.1.1.1.1.0.1.1.
abandonnerai	ab@dOn°Re	VER	a.b.an.d.o.nn.e.r.ai	a-a.b-b.an-@.d-d.o-O.nn-n.e-°.r-R.ai-e	1.1.1.1.1.1.0.1.1.
abandonneraient	ab@dOn°RE	VER	a.b.an.d.o.nn.e.r.aient	a-a.b-b.an-@.d-d.o-O.nn-n.e-°.r-R.aient-E	1.1.1.1.1.1.0.1.1.
abandonnerais	ab@dOn°RE	VER	a.b.an.d.o.nn.e.r.ais	a-a.b-b.an-@.d-d.o-O.nn-n.e-°.r-R.ais-E	1.1.1.1.1.1.0.1.1.
abandonnerait	ab@dOn°RE	VER	a.b.an.d.o.nn.e.r.ait	a-a.b-b.an-@.d-d.o-O.nn-n.e-°.r-R.ait-E	1.1.1.1.1.1.0.1.1.
abandonneras	ab@dOn°Ra	VER	a.b.an.d.o.nn.e.r.as	a-a.b-b.an-@.d-d.o-O.nn-n.e-°.r-R.as-a	1.1.1.1.1.1.0.1.1.
abandonnerez	ab@dOn°Re	VER	a.b.an.d.o.nn.e.r.ez	a-a.b-b.an-@.d-d.o-O.nn-n.e-°.r-R.ez-e	1.1.1.1.1.1.0.1.1.
abandonneriez	ab@dOn°Rje	VER	a.b.an.d.o.nn.e.r.i.ez	a-a.b-b.an-@.d-d.o-O.nn-n.e-°.r-R.i-j.ez-e	1.1.1.1.1.1.0.1.0.1.
abandonnerions	ab@dOn°Rj§	VER	a.b.an.d.o.nn.e.r.i.ons	a-a.b-b.an-@.d-d.o-O.nn-n.e-°.r-R.i-j.ons-§	1.1.1.1.1.1.0.1.0.1.
abandonnerons	ab@dOn°R§	VER	a.b.an.d.o.nn.e.r.ons	a-a.b-b.an-@.d-d.o-O.nn-n.e-°.r-R.ons-§	1.1.1.1.1.1.0.1.1.
abandonneront	ab@dOn°R§	VER	a.b.an.d.o.nn.e.r.ont	a-a.b-b.an-@.d-d.o-O.nn-n.e-°.r-R.ont-§	1.1.1.1.1.1.0.1.1.
abandonnes	ab@dOn	VER	a.b.an.d.o.nn.es	a-a.b-b.an-@.d-d.o-O.nn-n.es-#	1.1.1.1.1.1.1.
abandonneurs	ab@don9R	NOM	a.b.an.d.o.nn.eu.r.s	a-a.b-b.an-@.d-d.o-o.nn-n.eu-9.r-R.s-#	1.1.1.1.0.1.0.1.1.
abandonnez	ab@done	VER	a.b.an.d.o.nn.ez	a-a.b-b.an-@.d-d.o-o.nn-n.ez-e	1.1.1.1.0.1.1.
abandonniez	ab@donje	VER	a.b.an.d.o.nn.i.ez	a-a.b-b.an-@.d-d.o-o.nn-n.i-j.ez-e	1.1.1.1.0.1.0.1.
abandonnions	ab@donj§	VER	a.b.an.d.o.nn.i.ons	a-a.b-b.an-@.d-d.o-o.nn-n.i-j.ons-§	1.1.1.1.0.1.0.1.
abandonnique	ab@donik	ADJ	a.b.an.d.o.nn.i.qu.e	a-a.b-b.an-@.d-d.o-o.nn-n.i-i.qu-k.e-#	1.1.1.1.0.1.1.1.1.
abandonnons	ab@don§	VER	a.b.an.d.o.nn.ons	a-a.b-b.an-@.d-d.o-o.nn-n.ons-§	1.1.1.1.0.1.1.
abandonnâmes	ab@donam	VER	a.b.an.d.o.nn.â.m.es	a-a.b-b.an-@.d-d.o-o.nn-n.â-a.m-m.es-#	1.1.1.1.0.1.1.1.1.
abandonnât	ab@dona	VER	a.b.an.d.o.nn.ât	a-a.b-b.an-@.d-d.o-o.nn-n.ât-a	1.1.1.1.0.1.1.
abandonnèrent	ab@donER	VER	a.b.an.d.o.nn.è.r.ent	a-a.b-b.an-@.d-d.o-o.nn-n.è-E.r-R.ent-#	1.1.1.1.0.1.1.1.0.
abandonné	ab@done	VER	a.b.an.d.o.nn.é	a-a.b-b.an-@.d-d.o-o.nn-n.é-e	1.1.1.1.0.1.1.
abandonné	ab@done	ADJ	a.b.an.d.o.nn.é	a-a.b-b.an-@.d-d.o-o.nn-n.é-e	1.1.1.1.0.1.1.
abandonnée	ab@done	VER	a.b.an.d.o.nn.é.e	a-a.b-b.an-@.d-d.o-o.nn-n.é-e.e-#	1.1.1.1.0.1.1.1.
abandonnée	ab@done	ADJ	a.b.an.d.o.nn.é.e	a-a.b-b.an-@.d-d.o-o.nn-n.é-e.e-#	1.1.1.1.0.1.1.1.
abandonnées	ab@done	VER	a.b.an.d.o.nn.é.es	a-a.b-b.an-@.d-d.o-o.nn-n.é-e.es-#	1.1.1.1.0.1.1.1.
abandonnées	ab@done	ADJ	a.b.an.d.o.nn.é.es	a-a.b-b.an-@.d-d.o-o.nn-n.é-e.es-#	1.1.1.1.0.1.1.1.
abandonnés	ab@done	VER	a.b.an.d.o.nn.é.s	a-a.b-b.an-@.d-d.o-o.nn-n.é-e.s-#	1.1.1.1.0.1.1.1.
abandonnés	ab@done	ADJ	a.b.an.d.o.nn.é.s	a-a.b-b.an-@.d-d.o-o.nn-n.é-e.s-#	1.1.1.1.0.1.1.1.
abandons	ab@d§	NOM	a.b.an.d.on.s	a-a.b-b.an-@.d-d.on-§.s-#	1.1.1.1.1.1.
abaque	abak	NOM	a.b.a.qu.e	a-a.b-b.a-a.qu-k.e-#	1.1.1.1.1.
abasourdi	abazuRdi	ADJ	a.b.a.s.ou.r.d.i	a-a.b-b.a-a.s-z.ou-u.r-R.d-d.i-i	1.1.1.0.1.1.1.1.
abasourdi	abazuRdi	VER	a.b.a.s.ou.r.d.i	a-a.b-b.a-a.s-z.ou-u.r-R.d-d.i-i	1.1.1.0.1.1.1.1.
abasourdie	abazuRdi	ADJ	a.b.a.s.ou.r.d.i.e	a-a.b-b.a-a.s-z.ou-u.r-R.d-d.i-i.e-#	1.1.1.0.1.1.1.1.1.
abasourdie	abazuRdi	VER	a.b.a.s.ou.r.d.i.e	a-a.b-b.a-a.s-z.ou-u.r-R.d-d.i-i.e-#	1.1.1.0.1.1.1.1.1.
abasourdir	abazuRdiR	VER	a.b.a.s.ou.r.d.i.r	a-a.b-b.a-a.s-z.ou-u.r-R.d-d.i-i.r-R	1.1.1.0.1.1.1.1.1.
abasourdis	abazuRdi	ADJ	a.b.a.s.ou.r.d.i.s	a-a.b-b.a-a.s-z.ou-u.r-R.d-d.i-i.s-#	1.1.1.0.1.1.1.1.1.
abasourdis	abazuRdi	VER	a.b.a.s.ou.r.d.is	a-a.b-b.a-a.s-z.ou-u.r-R.d-d.is-i	1.1.1.0.1.1.1.1.
abasourdissant	abazuRdis@	ADJ	a.b.a.s.ou.r.d.i.ss.ant	a-a.b-b.a-a.s-z.ou-u.r-R.d-d.i-i.ss-s.ant-@	1.1.1.0.1.1.1.1.1.1.
abasourdissants	abazuRdis@	ADJ	a.b.a.s.ou.r.d.i.ss.an.ts	a-a.b-b.a-a.s-z.ou-u.r-R.d-d.i-i.ss-s.an-@.ts-#	1.1.1.0.1.1.1.1.1.1.1.
abat	aba	NOM	a.b.a.t	a-a.b-b.a-a.t-#	1.1.1.1.
abat	aba	VER	a.b.a.t	a-a.b-b.a-a.t-#	1.1.1.1.
abatage	abataZ	NOM	a.b.a.t.a.ge	a-a.b-b.a-a.t-t.a-a.ge-Z	1.1.1.1.1.1.
abatis	abati	NOM	a.b.a.t.i.s	a-a.b-b.a-a.t-t.i-i.s-#	1.1.1.1.1.1.
abats	aba	NOM	a.b.a.ts	a-a.b-b.a-a.ts-#	1.1.1.1.
abats	aba	VER	a.b.a.ts	a-a.b-b.a-a.ts-#	1.1.1.1.
abattage	abataZ	NOM	a.b.a.tt.a.ge	a-a.b-b.a-a.tt-t.a-a.ge-Z	1.1.1.1.1.1.
abattages	abataZ	NOM	a.b.a.tt.a.g.es	a-a.b-b.a-a.tt-t.a-a.g-Z.es-#	1.1.1.1.1.1.1.
abattaient	abatE	VER	a.b.a.tt.aient	a-a.b-b.a-a.tt-t.aient-E	1.1.1.1.1.
abattais	abatE	VER	a.b.a.tt.ais	a-a.b-b.a-a.tt-t.ais-E	1.1.1.1.1.
abattait	abatE	VER	a.b.a.tt.ait	a-a.b-b.a-a.tt-t.ait-E	1.1.1.1.1.
abattant	abat@	NOM	a.b.a.tt.ant	a-a.b-b.a-a.tt-t.ant-@	1.1.1.1.1.
abattant	abat@	VER	a.b.a.tt.ant	a-a.b-b.a-a.tt-t.ant-@	1.1.1.1.1.
abattants	abat@	NOM	a.b.a.tt.an.ts	a-a.b-b.a-a.tt-t.an-@.ts-#	1.1.1.1.1.1.
abatte	abat	VER	a.b.a.tt.e	a-a.b-b.a-a.tt-t.e-#	1.1.1.1.1.
abattement	abat°m@	NOM	a.b.a.tt.e.m.ent	a-a.b-b.a-a.tt-t.e-°.m-m.ent-@	1.1.1.1.0.1.1.
abattements	abat°m@	NOM	a.b.a.tt.e.m.en.ts	a-a.b-b.a-a.tt-t.e-°.m-m.en-@.ts-#	1.1.1.1.0.1.1.1.
abattent	abat	VER	a.b.a.tt.ent	a-a.b-b.a-a.tt-t.ent-#	1.1.1.1.0.
abattes	abat	VER	a.b.a.tt.es	a-a.b-b.a-a.tt-t.es-#	1.1.1.1.1.
abatteur	abat9R	NOM	a.b.a.tt.eu.r	a-a.b-b.a-a.tt-t.eu-9.r-R	1.1.1.1.0.1.
abatteurs	abat9R	NOM	a.b.a.tt.eu.r.s	a-a.b-b.a-a.tt-t.eu-9.r-R.s-#	1.1.1.1.0.1.1.
abattez	abate	VER	a.b.a.tt.ez	a-a.b-b.a-a.tt-t.ez-e	1.1.1.1.1.
abattiez	abatje	VER	a.b.a.tt.i.ez	a-a.b-b.a-a.tt-t.i-j.ez-e	1.1.1.1.0.1.
abattions	abatj§	VER	a.b.a.tt.i.ons	a-a.b-b.a-a.tt-t.i-j.ons-§	1.1.1.1.0.1.
abattirent	abatiR	VER	a.b.a.tt.i.r.ent	a-a.b-b.a-a.tt-t.i-i.r-R.ent-#	1.1.1.1.1.1.0.
abattis	abati	NOM	a.b.a.tt.i.s	a-a.b-b.a-a.tt-t.i-i.s-#	1.1.1.1.1.1.
abattis	abati	VER	a.b.a.tt.is	a-a.b-b.a-a.tt-t.is-i	1.1.1.1.1.
abattit	abati	VER	a.b.a.tt.it	a-a.b-b.a-a.tt-t.it-i	1.1.1.1.1.
abattoir	abatwaR	NOM	a.b.a.tt.oi.r	a-a.b-b.a-a.tt-t.oi-wa.r-R	1.1.1.1.1.1.
abattoirs	abatwaR	NOM	a.b.a.tt.oi.r.s	a-a.b-b.a-a.tt-t.oi-wa.r-R.s-#	1.1.1.1.1.1.1.
abattons	abat§	VER	a.b.a.tt.ons	a-a.b-b.a-a.tt-t.ons-§	1.1.1.1.1.
abattra	abatRa	VER	a.b.a.tt.r.a	a-a.b-b.a-a.tt-t.r-R.a-a	1.1.1.1.1.1.
abattrai	abatRe	VER	a.b.a.tt.r.ai	a-a.b-b.a-a.tt-t.r-R.ai-e	1.1.1.1.1.1.
abattraient	abatRE	VER	a.b.a.tt.r.aient	a-a.b-b.a-a.tt-t.r-R.aient-E	1.1.1.1.1.1.
abattrais	abatRE	VER	a.b.a.tt.r.ais	a-a.b-b.a-a.tt-t.r-R.ais-E	1.1.1.1.1.1.
abattrait	abatRE	VER	a.b.a.tt.r.ait	a-a.b-b.a-a.tt-t.r-R.ait-E	1.1.1.1.1.1.
abattras	abatRa	VER	a.b.a.tt.r.as	a-a.b-b.a-a.tt-t.r-R.as-a	1.1.1.1.1.1.
abattre	abatR	VER	a.b.a.tt.r.e	a-a.b-b.a-a.tt-t.r-R.e-#	1.1.1.1.1.1.
abattrez	abatRe	VER	a.b.a.tt.r.ez	a-a.b-b.a-a.tt-t.r-R.ez-e	1.1.1.1.1.1.
abattriez	abatRie	VER	a.b.a.tt.r.i.ez	a-a.b-b.a-a.tt-t.r-R.i-i.ez-e	1.1.1.1.1.1.1.
abattrons	abatR§	VER	a.b.a.tt.r.ons	a-a.b-b.a-a.tt-t.r-R.ons-§	1.1.1.1.1.1.
abattront	abatR§	VER	a.b.a.tt.r.ont	a-a.b-b.a-a.tt-t.r-R.ont-§	1.1.1.1.1.1.
abattu	abaty	VER	a.b.a.tt.u	a-a.b-b.a-a.tt-t.u-y	1.1.1.1.1.
abattu	abaty	ADJ	a.b.a.tt.u	a-a.b-b.a-a.tt-t.u-y	1.1.1.1.1.
abattu	abaty	NOM	a.b.a.tt.u	a-a.b-b.a-a.tt-t.u-y	1.1.1.1.1.
abattue	abaty	VER	a.b.a.tt.u.e	a-a.b-b.a-a.tt-t.u-y.e-#	1.1.1.1.1.1.
abattue	abaty	ADJ	a.b.a.tt.u.e	a-a.b-b.a-a.tt-t.u-y.e-#	1.1.1.1.1.1.
abattues	abaty	VER	a.b.a.tt.u.es	a-a.b-b.a-a.tt-t.u-y.es-#	1.1.1.1.1.1.
abattues	abaty	ADJ	a.b.a.tt.u.es	a-a.b-b.a-a.tt-t.u-y.es-#	1.1.1.1.1.1.
abattures	abatyR	NOM	a.b.a.tt.u.r.es	a-a.b-b.a-a.tt-t.u-y.r-R.es-#	1.1.1.1.1.1.1.
abattus	abaty	VER	a.b.a.tt.us	a-a.b-b.a-a.tt-t.us-y	1.1.1.1.1.
abattus	abaty	ADJ	a.b.a.tt.u.s	a-a.b-b.a-a.tt-t.u-y.s-#	1.1.1.1.1.1.
abattus	abaty	NOM	a.b.a.tt.u.s	a-a.b-b.a-a.tt-t.u-y.s-#	1.1.1.1.1.1.
abbatial	abasjal	ADJ	a.bb.a.t.i.a.l	a-a.bb-b.a-a.t-s.i-j.a-a.l-l	1.1.1.0.0.1.1.
abbatiale	abasjal	ADJ	a.bb.a.t.i.a.l.e	a-a.bb-b.a-a.t-s.i-j.a-a.l-l.e-#	1.1.1.0.0.1.1.1.
abbatiale	abasjal	NOM	a.bb.a.t.i.a.l.e	a-a.bb-b.a-a.t-s.i-j.a-a.l-l.e-#	1.1.1.0.0.1.1.1.
abbatiales	abasjal	ADJ	a.bb.a.t.i.a.l.es	a-a.bb-b.a-a.t-s.i-j.a-a.l-l.es-#	1.1.1.0.0.1.1.1.
abbaye	abei	NOM	a.bb.a.y.e	a-a.bb-b.a-e.y-i.e-#	1.1.0.1.1.
abbayes	abei	NOM	a.bb.a.y.es	a-a.bb-b.a-e.y-i.es-#	1.1.0.1.1.
abbesse	abEs	NOM	a.bb.e.ss.e	a-a.bb-b.e-E.ss-s.e-#	1.1.1.1.1.
abbesses	abEs	NOM	a.bb.e.ss.es	a-a.bb-b.e-E.ss-s.es-#	1.1.1.1.1.
abbé	abe	NOM	a.bb.é	a-a.bb-b.é-e	1.1.1.
abbés	abe	NOM	a.bb.é.s	a-a.bb-b.é-e.s-#	1.1.1.1.
abcès	apsE	NOM	a.b.c.è.s	a-a.b-p.c-s.è-E.s-#	1.0.1.1.1.
abdication	abdikasj§	NOM	a.b.d.i.c.a.t.i.on	a-a.b-b.d-d.i-i.c-k.a-a.t-s.i-j.on-§	1.1.1.1.0.1.0.0.1.
abdications	abdikasj§	NOM	a.b.d.i.c.a.t.i.on.s	a-a.b-b.d-d.i-i.c-k.a-a.t-s.i-j.on-§.s-#	1.1.1.1.0.1.0.0.1.1.
abdiqua	abdika	VER	a.b.d.i.qu.a	a-a.b-b.d-d.i-i.qu-k.a-a	1.1.1.1.1.1.
abdiquai	abdike	VER	a.b.d.i.qu.ai	a-a.b-b.d-d.i-i.qu-k.ai-e	1.1.1.1.1.1.
abdiquaient	abdikE	VER	a.b.d.i.qu.aient	a-a.b-b.d-d.i-i.qu-k.aient-E	1.1.1.1.1.1.
abdiquais	abdikE	VER	a.b.d.i.qu.ais	a-a.b-b.d-d.i-i.qu-k.ais-E	1.1.1.1.1.1.
abdiquait	abdikE	VER	a.b.d.i.qu.ait	a-a.b-b.d-d.i-i.qu-k.ait-E	1.1.1.1.1.1.
abdiquant	abdik@	VER	a.b.d.i.qu.ant	a-a.b-b.d-d.i-i.qu-k.ant-@	1.1.1.1.1.1.
abdique	abdik	VER	a.b.d.i.qu.e	a-a.b-b.d-d.i-i.qu-k.e-#	1.1.1.1.1.1.
abdiquer	abdike	VER	a.b.d.i.qu.er	a-a.b-b.d-d.i-i.qu-k.er-e	1.1.1.1.1.1.
abdiquera	abdik°Ra	VER	a.b.d.i.qu.e.r.a	a-a.b-b.d-d.i-i.qu-k.e-°.r-R.a-a	1.1.1.1.1.0.1.1.
abdiquerais	abdik°RE	VER	a.b.d.i.qu.e.r.ais	a-a.b-b.d-d.i-i.qu-k.e-°.r-R.ais-E	1.1.1.1.1.0.1.1.
abdiquerait	abdik°RE	VER	a.b.d.i.qu.e.r.ait	a-a.b-b.d-d.i-i.qu-k.e-°.r-R.ait-E	1.1.1.1.1.0.1.1.
abdiquez	abdike	VER	a.b.d.i.qu.ez	a-a.b-b.d-d.i-i.qu-k.ez-e	1.1.1.1.1.1.
abdiqué	abdike	VER	a.b.d.i.qu.é	a-a.b-b.d-d.i-i.qu-k.é-e	1.1.1.1.1.1.
abdiquée	abdike	VER	a.b.d.i.qu.é.e	a-a.b-b.d-d.i-i.qu-k.é-e.e-#	1.1.1.1.1.1.1.
abdomen	abdomEn	NOM	a.b.d.o.m.e.n	a-a.b-b.d-d.o-o.m-m.e-E.n-n	1.1.1.0.1.1.1.
abdominal	abdominal	ADJ	a.b.d.o.m.i.n.a.l	a-a.b-b.d-d.o-o.m-m.i-i.n-n.a-a.l-l	1.1.1.0.1.1.1.1.1.
abdominale	abdominal	ADJ	a.b.d.o.m.i.n.a.l.e	a-a.b-b.d-d.o-o.m-m.i-i.n-n.a-a.l-l.e-#	1.1.1.0.1.1.1.1.1.1.
abdominales	abdominal	ADJ	a.b.d.o.m.i.n.a.l.es	a-a.b-b.d-d.o-o.m-m.i-i.n-n.a-a.l-l.es-#	1.1.1.0.1.1.1.1.1.1.
abdominaux	abdomino	ADJ	a.b.d.o.m.i.n.au.x	a-a.b-b.d-d.o-o.m-m.i-i.n-n.au-o.x-#	1.1.1.0.1.1.1.1.1.
abdominaux	abdomino	NOM	a.b.d.o.m.i.n.au.x	a-a.b-b.d-d.o-o.m-m.i-i.n-n.au-o.x-#	1.1.1.0.1.1.1.1.1.
abdos	abdo	NOM	a.b.d.o.s	a-a.b-b.d-d.o-o.s-#	1.1.1.0.1.
abducteur	abdykt9R	ADJ	a.b.d.u.c.t.eu.r	a-a.b-b.d-d.u-y.c-k.t-t.eu-9.r-R	1.1.1.1.0.1.0.1.
abduction	abdyksj§	NOM	a.b.d.u.c.t.i.on	a-a.b-b.d-d.u-y.c-k.t-s.i-j.on-§	1.1.1.1.0.0.0.1.
abeille	abEj	NOM	a.b.ei.ll.e	a-a.b-b.ei-E.ll-j.e-#	1.1.1.0.1.
abeilles	abEj	NOM	a.b.ei.ll.es	a-a.b-b.ei-E.ll-j.es-#	1.1.1.0.1.
aber	abe	NOM	a.b.er	a-a.b-b.er-e	1.1.1.
aberrant	abER@	ADJ	a.b.e.rr.ant	a-a.b-b.e-E.rr-R.ant-@	1.1.1.1.1.
aberrant	abER@	VER	a.b.e.rr.ant	a-a.b-b.e-E.rr-R.ant-@	1.1.1.1.1.
aberrante	abER@t	ADJ	a.b.e.rr.an.t.e	a-a.b-b.e-E.rr-R.an-@.t-t.e-#	1.1.1.1.1.1.1.
aberrantes	abER@t	ADJ	a.b.e.rr.an.t.es	a-a.b-b.e-E.rr-R.an-@.t-t.es-#	1.1.1.1.1.1.1.
aberrants	abER@	ADJ	a.b.e.rr.an.ts	a-a.b-b.e-E.rr-R.an-@.ts-#	1.1.1.1.1.1.
aberration	abERasj§	NOM	a.b.e.rr.a.t.i.on	a-a.b-b.e-E.rr-R.a-a.t-s.i-j.on-§	1.1.1.1.1.0.0.1.
aberrations	abERasj§	NOM	a.b.e.rr.a.t.i.on.s	a-a.b-b.e-E.rr-R.a-a.t-s.i-j.on-§.s-#	1.1.1.1.1.0.0.1.1.
abhorrais	abORE	VER	a.b.h.o.rr.ais	a-a.b-b.h-#.o-O.rr-R.ais-E	1.1.1.1.1.1.
abhorrait	abORE	VER	a.b.h.o.rr.ait	a-a.b-b.h-#.o-O.rr-R.ait-E	1.1.1.1.1.1.
abhorrant	abOR@	VER	a.b.h.o.rr.ant	a-a.b-b.h-#.o-O.rr-R.ant-@	1.1.1.1.1.1.
abhorre	abOR	VER	a.b.h.o.rr.e	a-a.b-b.h-#.o-O.rr-R.e-#	1.1.1.1.1.1.
abhorrer	abORe	VER	a.b.h.o.rr.er	a-a.b-b.h-#.o-O.rr-R.er-e	1.1.1.1.1.1.
abhorrez	abORe	VER	a.b.h.o.rr.ez	a-a.b-b.h-#.o-O.rr-R.ez-e	1.1.1.1.1.1.
abhorré	abORe	VER	a.b.h.o.rr.é	a-a.b-b.h-#.o-O.rr-R.é-e	1.1.1.1.1.1.
abhorré	abORe	ADJ	a.b.h.o.rr.é	a-a.b-b.h-#.o-O.rr-R.é-e	1.1.1.1.1.1.
abhorrée	abORe	VER	a.b.h.o.rr.é.e	a-a.b-b.h-#.o-O.rr-R.é-e.e-#	1.1.1.1.1.1.1.
abhorrée	abORe	ADJ	a.b.h.o.rr.é.e	a-a.b-b.h-#.o-O.rr-R.é-e.e-#	1.1.1.1.1.1.1.
abhorrés	abORe	VER	a.b.h.o.rr.é.s	a-a.b-b.h-#.o-O.rr-R.é-e.s-#	1.1.1.1.1.1.1.
abject	abZEkt	ADJ	a.b.j.e.c.t	a-a.b-b.j-Z.e-E.c-k.t-t	1.1.1.1.0.0.
abjecte	abZEkt	ADJ	a.b.j.e.c.t.e	a-a.b-b.j-Z.e-E.c-k.t-t.e-#	1.1.1.1.0.1.1.
abjectement	abZEkt°m@	ADV	a.b.j.e.c.t.e.m.ent	a-a.b-b.j-Z.e-E.c-k.t-t.e-°.m-m.ent-@	1.1.1.1.0.1.0.1.1.
